Region_ID,Corner_Coordinates
165,"[[0.6666666666666666, 0.20833333333333326, 0.206849499649589], [0.5, 0.12500000000000003, 0.23892451460456826], [0.8333333333333333, 0.12499999999999994, 0.2389245146045682], [0.8333333333333334, 0.025783423063208553, 0.27711299287292146], [0.8333333333333333, 0.025783423063208553, 0.7228870071270787], [0.5, 0.125, 0.7610754853954318], [0.8333333333333333, 0.3174500897298752, 0.293150500350411], [0.8333333333333334, 0.31745008972987526, 0.706849499649589], [0.6666666666666666, 0.2083333333333333, 0.7931505003504109], [0.8333333333333334, 0.125, 0.7610754853954317], [0.49999999999999994, 0.025783423063208525, 0.2771129928729214], [0.49999999999999994, 0.025783423063208525, 0.7228870071270787], [0.49999999999999994, 0.31745008972987526, 0.706849499649589], [0.49999999999999994, 0.31745008972987526, 0.293150500350411], [0.6666666666666666, 0.4007834230632086, 0.7389245146045683], [0.6666666666666666, 0.4007834230632086, 0.26107548539543174]]"
166,"[[0.3333333333333333, 0.20833333333333331, 0.20684949964958904], [0.5, 0.12500000000000003, 0.23892451460456826], [0.16666666666666666, 0.3174500897298752, 0.293150500350411], [0.16666666666666666, 0.3174500897298752, 0.706849499649589], [0.16666666666666666, 0.12499999999999997, 0.23892451460456826], [0.3333333333333333, 0.20833333333333331, 0.7931505003504109], [0.5, 0.125, 0.7610754853954318], [0.16666666666666666, 0.12499999999999996, 0.7610754853954318], [0.49999999999999994, 0.025783423063208525, 0.2771129928729214], [0.16666666666666666, 0.025783423063208542, 0.2771129928729214], [0.49999999999999994, 0.025783423063208525, 0.7228870071270787], [0.16666666666666669, 0.025783423063208594, 0.7228870071270787], [0.49999999999999994, 0.31745008972987526, 0.706849499649589], [0.49999999999999994, 0.31745008972987526, 0.293150500350411], [0.33333333333333337, 0.4007834230632086, 0.7389245146045683], [0.33333333333333337, 0.4007834230632086, 0.26107548539543174]]"
200,"[[0.49999999999999994, 0.31745008972987526, 0.706849499649589], [0.33333333333333337, 0.6507834230632085, 0.29315050035041096], [0.6666666666666666, 0.6507834230632086, 0.293150500350411], [0.49999999999999994, 0.31745008972987526, 0.293150500350411], [0.49999999999999994, 0.5416666666666666, 0.206849499649589], [0.33333333333333337, 0.4007834230632086, 0.7389245146045683], [0.6666666666666666, 0.4007834230632086, 0.7389245146045683], [0.33333333333333337, 0.4007834230632086, 0.26107548539543174], [0.6666666666666666, 0.4007834230632086, 0.26107548539543174], [0.33333333333333337, 0.4583333333333333, 0.23892451460456823], [0.6666666666666666, 0.4583333333333333, 0.2389245146045682], [0.5, 0.7341167563965418, 0.2610754853954317], [0.3333333333333334, 0.6507834230632086, 0.706849499649589], [0.33333333333333337, 0.4583333333333333, 0.7610754853954318], [0.5, 0.5416666666666666, 0.793150500350411], [0.6666666666666666, 0.6507834230632086, 0.7068494996495891], [0.5, 0.734116756396542, 0.7389245146045682], [0.6666666666666666, 0.45833333333333315, 0.7610754853954318]]"
234,"[[0.16666666666666666, 0.5416666666666666, 0.20684949964958899], [-5.204170427930421e-17, 0.4583333333333333, 0.23892451460456823], [0.16666666666666666, 0.3174500897298752, 0.293150500350411], [0.16666666666666666, 0.3174500897298752, 0.706849499649589], [-5.204170427930421e-17, 0.4007834230632086, 0.2610754853954318], [-2.659909329831105e-17, 0.6507834230632085, 0.29315050035041096], [-2.659909329831105e-17, 0.6507834230632085, 0.706849499649589], [0.16666666666666669, 0.7341167563965418, 0.2610754853954317], [0.33333333333333337, 0.6507834230632085, 0.29315050035041096], [0.33333333333333337, 0.4007834230632086, 0.7389245146045683], [0.33333333333333337, 0.4007834230632086, 0.26107548539543174], [0.33333333333333337, 0.4583333333333333, 0.23892451460456823], [0.16666666666666666, 0.5416666666666666, 0.793150500350411], [0.3333333333333334, 0.6507834230632086, 0.706849499649589], [0.16666666666666669, 0.7341167563965418, 0.7389245146045683], [0.33333333333333337, 0.4583333333333333, 0.7610754853954318], [-5.204170427930421e-17, 0.4007834230632086, 0.7389245146045682], [-5.204170427930421e-17, 0.4583333333333333, 0.7610754853954318]]"
326,"[[0.8333333333333334, 0.5416666666666666, 0.20684949964958899], [1.0, 0.6507834230632085, 0.293150500350411], [0.8333333333333333, 0.3174500897298752, 0.293150500350411], [1.0, 0.45833333333333326, 0.2389245146045682], [1.0, 0.40078342306320863, 0.2610754853954318], [0.8333333333333333, 0.7341167563965418, 0.2610754853954318], [0.8333333333333334, 0.31745008972987526, 0.706849499649589], [1.0, 0.40078342306320863, 0.7389245146045683], [0.6666666666666666, 0.6507834230632086, 0.293150500350411], [0.6666666666666666, 0.4007834230632086, 0.7389245146045683], [0.6666666666666666, 0.4007834230632086, 0.26107548539543174], [0.6666666666666666, 0.4583333333333333, 0.2389245146045682], [0.6666666666666666, 0.6507834230632086, 0.7068494996495891], [0.6666666666666666, 0.45833333333333315, 0.7610754853954318], [1.0, 0.6507834230632085, 0.706849499649589], [0.8333333333333333, 0.5416666666666666, 0.793150500350411], [0.8333333333333333, 0.7341167563965418, 0.7389245146045683], [1.0, 0.45833333333333326, 0.7610754853954318]]"
